,GRAVEDAD,FECHA,AÑO,HORA,JORNADA,DIA_SEMANA,BARRIO-CORREGIMIENTO-VIA,DIRECCION,ZONA,AUTORIDAD,LAT,LONG,CONDICION_VICTIMA,LESIONADO,HOMICIDIOS,TIPO_ACCIDENTE,HIPOTESIS,GENERO,CLINICA,CLASE_VEHICULO,MARCA,MATRICULA,TIPO DE SERVICIO,EMPRESA
0,DAÑOS,2020-01-01,2020,19:10,NOCHE,MIERCOLES,OLIMPICO,CALLE 23 CARRERA 35 A,URBANA,TECNICO,3.52189,-76.30695,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO RESPETAR PRELACION,NO APLICA 2020,NO APLICA,AUTOMOVIL,CHEVROLET,CALI,PARTICULAR,NO APLICA
1,DAÑOS,2020-01-01,2020,19:10,NOCHE,MIERCOLES,OLIMPICO,CALLE 23 CARRERA 35 A,URBANA,TECNICO,3.52189,-76.30695,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO RESPETAR PRELACION,NO APLICA 2020,NO APLICA,AUTOMOVIL,KIA,CALI,PARTICULAR,NO APLICA
2,DAÑOS,2020-01-02,2020,12:10,TARDE,JUEVES,INDUSTRIAL,CALLE 42 CARRERA 35,URBANA,TECNICO,3.5387,-76.30631,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO ESTAR PENDIENTE DE LA VIA,NO APLICA 2020,NO APLICA,CAMIONETA,CHEVROLET,CUNDINAMARCA,PARTICULAR,NO APLICA
3,DAÑOS,2020-01-02,2020,12:10,TARDE,JUEVES,INDUSTRIAL,CALLE 42 CARRERA 35,URBANA,TECNICO,3.5387,-76.30631,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO ESTAR PENDIENTE DE LA VIA,NO APLICA 2020,NO APLICA,AUTOMOVIL,DAEWOO,CALI,PARTICULAR,NO APLICA
4,HERIDOS,2020-01-01,2020,12:20,TARDE,MIERCOLES,ZAMORANO,CARRERA 28 CALLE 664A-19,URBANA,TECNICO,3.55325,-76.29304,MOTOCICLISTA,1,NO APLICA,CHOQUE,NO MANTENER DISTANCIA DE SEGURIDAD,NO APLICA 2020,PALMA,MOTO,HONDA,PRADERA,PARTICULAR,NO APLICA
5,HERIDOS,2020-01-01,2020,12:20,TARDE,MIERCOLES,ZAMORANO,CARRERA 28 CALLE 664A-19,URBANA,TECNICO,3.55325,-76.29304,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO MANTENER DISTANCIA DE SEGURIDAD,NO APLICA 2020,NO APLICA,AUTOMOVIL,MAZDA,CALI,PARTICULAR,NO APLICA
6,HERIDOS,2020-01-01,2020,12:20,TARDE,MIERCOLES,ZAMORANO,CARRERA 28 CALLE 664A-19,URBANA,TECNICO,3.55325,-76.29304,ACOMPAÑANTE MOTOCICLISTA,1,NO APLICA,CHOQUE,NO MANTENER DISTANCIA DE SEGURIDAD,NO APLICA 2020,PALMA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7,DAÑOS,2020-01-02,2020,14:10,TARDE,JUEVES,AEROPUERTO,PUERTA 3,RURAL,TECNICO,3.54674,-76.38272,NO APLICA,NO APLICA,NO APLICA,CHOQUE,ADELANTAR CERRANDO,NO APLICA 2020,NO APLICA,AUTOMOVIL,KIA,CALI,PARTICULAR,NO APLICA
8,DAÑOS,2020-01-02,2020,14:10,TARDE,JUEVES,AEROPUERTO,PUERTA 3,RURAL,TECNICO,3.54674,-76.38272,NO APLICA,NO APLICA,NO APLICA,CHOQUE,ADELANTAR CERRANDO,NO APLICA 2020,NO APLICA,AUTOMOVIL,HYUNDAI,CALI,PARTICULAR,NO APLICA
9,DAÑOS,2020-01-03,2020,14:10,TARDE,VIERNES,RECREO,CALLE 22 CARRERA 30,URBANA,TECNICO,3.52049,-76.30189,NO APLICA,NO APLICA,NO APLICA,CHOQUE,DESOBEDECER SEÑALES,NO APLICA 2020,NO APLICA,MOTO,HONDA,PALMIRA,PARTICULAR,NO APLICA
10,DAÑOS,2020-01-03,2020,14:10,TARDE,VIERNES,RECREO,CALLE 22 CARRERA 30,URBANA,TECNICO,3.52049,-76.30189,NO APLICA,NO APLICA,NO APLICA,CHOQUE,DESOBEDECER SEÑALES,NO APLICA 2020,NO APLICA,AUTOMOVIL,CHEVROLET,BOGOTA,PARTICULAR,NO APLICA
11,DAÑOS,2020-01-03,2020,09:00,MAÑANA,VIERNES,COLOMBIA,CARRERA 33 CALLE 37-96,URBANA,TECNICO,3.53456,-76.30268,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO ESTAR PENDIENTE DE LA VIA,NO APLICA 2020,NO APLICA,CAMION,JMC,BOGOTA,PARTICULAR,NO APLICA
12,DAÑOS,2020-01-03,2020,09:00,MAÑANA,VIERNES,COLOMBIA,CARRERA 33 CALLE 37-96,URBANA,TECNICO,3.53456,-76.30268,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO ESTAR PENDIENTE DE LA VIA,NO APLICA 2020,NO APLICA,CAMIONETA,TOYOTA,CALI,PARTICULAR,NO APLICA
13,HERIDOS,2020-01-03,2020,00:00,MADRUGADA,VIERNES,SEMBRADOR,CALLE 23 CARRERA 23,URBANA,TECNICO,3.52086,-76.29496,MOTOCICLISTA,1,NO APLICA,CHOQUE,ADELANTAR INVADIENDO CARRIL,NO APLICA 2020,PALMIRA,MOTO,SIGMA,FLORIDA,PARTICULAR,NO APLICA
