,GRAVEDAD,FECHA,AÑO,HORA,JORNADA,DIA_SEMANA,BARRIO-CORREGIMIENTO-VIA,DIRECCION,ZONA,AUTORIDAD,LAT,LONG,CONDICION_VICTIMA,LESIONADO,HOMICIDIOS,TIPO_ACCIDENTE,HIPOTESIS,GENERO,CLINICA,CLASE_VEHICULO,MARCA,MATRICULA,TIPO DE SERVICIO,EMPRESA
1469,HERIDOS,2021-08-28,2021,17:20,TARDE,SABADO,NUEVO,CARRERA 31 CALLE 24,URBANA,TECNICO,3.52753,-76.29544,MOTOCICLISTA,1,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,PALMIRA,MOTO,JIALING,NO APLICA 2021,PARTICULAR,NO APLICA
1470,HERIDOS,2021-08-29,2021,17:20,TARDE,SABADO,NUEVO,CARRERA 31 CALLE 24,URBANA,TECNICO,3.52753,-76.29544,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,AUTOMOVIL,CHEVROLET,NO APLICA 2021,PARTICULAR,NO APLICA
1471,HERIDOS,2021-08-30,2021,17:20,TARDE,SABADO,NUEVO,CARRERA 31 CALLE 24,URBANA,TECNICO,3.52753,-76.29544,ACOMPAÑANTE MOTOCICLISTA,1,NO APLICA,CHOQUE,NO APLICA 2021,FEMENINA,PALMIRA,NO APLICA,NO APLICA,NO APLICA 2021,NO APLICA,NO APLICA
1472,HERIDOS,2021-08-30,2021,20:40,NOCHE,LUNES,ITALIA,TRANSVERSAL 28 DIAGONAL 29,URBANA,TECNICO,3.50602,-76.30169,MOTOCICLISTA,1,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,PALMA,MOTO,AKT,NO APLICA 2021,PARTICULAR,NO APLICA
1473,HERIDOS,2021-08-30,2021,20:40,NOCHE,LUNES,ITALIA,TRANSVERSAL 28 DIAGONAL 29,URBANA,TECNICO,3.50602,-76.30169,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,FEMENINA,NO APLICA,AUTOMOVIL,RENAULT,NO APLICA 2021,PARTICULAR,NO APLICA
1474,DAÑOS,2021-08-28,2021,00:10,MADRUGADA,SABADO,CENTRO,CALLE 28 CARRERA 32,URBANA,TECNICO,3.52587,-76.30277,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,MOTO,AKT,NO APLICA 2021,PARTICULAR,NO APLICA
1475,DAÑOS,2021-08-28,2021,00:10,MADRUGADA,SABADO,CENTRO,CALLE 28 CARRERA 32,URBANA,TECNICO,3.52587,-76.30277,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,FEMENINA,NO APLICA,AUTOMOVIL,MAZDA,NO APLICA 2021,PARTICULAR,NO APLICA
1476,DAÑOS,2021-08-30,2021,16:40,TARDE,LUNES,SANTA BARBARA,CALLE 31 VIA CALI KM 1,URBANA,TECNICO,3.52831,-76.3219,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,FEMENINA,NO APLICA,AUTOMOVIL,NISSAN,NO APLICA 2021,PARTICULAR,NO APLICA
1477,DAÑOS,2021-08-30,2021,16:40,TARDE,LUNES,SANTA BARBARA,CALLE 31 VIA CALI KM 1,URBANA,TECNICO,3.52831,-76.3219,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,CAMIONETA,FOTON,NO APLICA 2021,PUBLICO,NO APLICA
1478,DAÑOS,2021-08-30,2021,19:30,NOCHE,LUNES,JARDIN,CARRERA 1 CALLE 33-08,URBANA,TECNICO,3.5285,-76.27734,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,AUTOMOVIL,CHEVROLET,NO APLICA 2021,PARTICULAR,NO APLICA
