,GRAVEDAD,FECHA,AÑO,HORA,JORNADA,DIA_SEMANA,BARRIO-CORREGIMIENTO-VIA,DIRECCION,ZONA,AUTORIDAD,LAT,LONG,HIPOTESIS,CONDICION_VICTIMA,TIPO_ACCIDENTE,GENERO,LESIONADO,CLINICA,CLASE_VEHICULO,MARCA,MATRICULA,TIPO DE SERVICIO,EMPRESA,HOMICIDIOS
384,HERIDOS,2022-02-26,2022,10:00,MAÑANA,SABADO,AMERICAS,CALLE 14 CARRERA 26,URBANA,TECNICO,3.51318,-76.29908,PERDIDA DEL CONTROL DEL VEHICULO,MOTOCICLISTA,CHOQUE SARDINEL,MASCULINO,LESIONADO,PALMIRA,MOTO,SUZUKI,PALMIRA,PARTICULAR,NO APLICA,0
385,HERIDOS,2022-02-26,2022,10:00,MAÑANA,SABADO,AMERICAS,CALLE 14 CARRERA 26,URBANA,TECNICO,3.51318,-76.29908,PERDIDA DEL CONTROL DEL VEHICULO,ACOMPAÑANTE MOTOCICLISTA,CHOQUE SARDINEL,MASCULINO,LESIONADO,PALMIRA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,0
386,HERIDOS,2022-02-27,2022,03:50,MADRUGADA,DOMINGO,CENTRO POBLADO ROZO,CALLE 10 N 13-908 LA PIÑA,RURAL,TECNICO,3.61511,-76.38913,EMBRIAGUEZ APARENTE,MOTOCICLISTA,CHOQUE,MASCULINO,LESIONADO,PALMA,MOTO,HONDA,MIRANDA,PARTICULAR,NO APLICA,0
387,HERIDOS,2022-02-27,2022,03:50,MADRUGADA,DOMINGO,CENTRO POBLADO ROZO,CALLE 10 N 13-908 LA PIÑA,RURAL,TECNICO,3.61511,-76.38913,EMBRIAGUEZ APARENTE,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,CAMIONETA,TOYOTA,BOGOTA,PARTICULAR,NO APLICA,0
388,HERIDOS,2022-02-27,2022,05:00,MADRUGADA,DOMINGO,RECREO,CALLE 23 CARRERA 26,URBANA,TECNICO,3.52078,-76.29823,DESOBEDESER SEÑAL,CONDUCTOR,CHOQUE,MASCULINO,LESIONADO,PALMIRA,AUTOMOVIL,KIA,PALMIRA,PUBLICO,NO APLICA,0
389,HERIDOS,2022-02-27,2022,05:00,MADRUGADA,DOMINGO,RECREO,CALLE 23 CARRERA 26,URBANA,TECNICO,3.52078,-76.29823,DESOBEDESER SEÑAL,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,KIA,CALI,PARTICULAR,NO APLICA,0
390,HERIDOS,2022-02-27,2022,05:00,MADRUGADA,DOMINGO,RECREO,CALLE 23 CARRERA 26,URBANA,TECNICO,3.52078,-76.29823,DESOBEDESER SEÑAL,ACOMPAÑANTE CONDUCTOR,CHOQUE,MASCULINO,LESIONADO,PALMIRA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,0
391,MUERTO,2022-02-26,2022,09:45,MAÑANA,SABADO,BARRIO NUEVO,CARRERA 29 CALLE 26,URBANA,TECNICO,3.52373,-76.30033,POR ESTABLECER,MOTOCICLISTA,CHOQUE,MASCULINO,MUERTO,SANTA BARBARA,MOTO,HONDA,PALMIRA,PARTICULAR,NO APLICA,1
392,HERIDOS,2022-02-26,2022,17:20,TARDE,SABADO,SANTA ISABEL,CARRERA 28 CALLE 44,URBANA,TECNICO,3.53935,-76.297,PERDIDA DEL CONTROL DEL VEHICULO,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,BUS,CHEVROLET,GUACARI,PUBLICO,SULTANA,0
393,HERIDOS,2022-02-26,2022,17:20,TARDE,SABADO,SANTA ISABEL,CARRERA 28 CALLE 44,URBANA,TECNICO,3.53935,-76.297,PERDIDA DEL CONTROL DEL VEHICULO,CICLISTA,CHOQUE,MASCULINO,LESIONADO,PALMA,BICICLETA,NO APLICA,NO APLICA,PARTICULAR,NO APLICA,0
394,HERIDOS,2022-02-26,2022,17:35,TARDE,SABADO,ESTONIA,CALLE 42 CARRERA 32,URBANA,TECNICO,3.53842,-76.30086,POR ESTABLECER,CICLISTA,CHOQUE,MASCULINO,LESIONADO,PALMA,BICICLETA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,0
395,DAÑOS,2022-02-26,2022,20:20,NOCHE,SABADO,VERSALLES,CARRERA 29 CALLE 42A,URBANA,TECNICO,3.53834,-76.29805,REVERSO IMPRUDENTE,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,CAMIONETA,CHANA STAR,CALI,PARTICULAR,NO APLICA,0
396,DAÑOS,2022-02-27,2022,12:10,TARDE,DOMINGO,SESQUI,CARRERA 32 CALLE 10,URBANA,TECNICO,3.50992,-76.30744,NO MANTENER DISTANCIA SEGURIDAD,NO APLICA,CHOQUE,FEMENINA,NO APLICA,NO APLICA,AUTOMOVIL,SUZUKI,PALMIRA,PARTICULAR,NO APLICA,0
397,DAÑOS,2022-02-27,2022,12:10,TARDE,DOMINGO,SESQUI,CARRERA 32 CALLE 10,URBANA,TECNICO,3.50992,-76.30744,NO MANTENER DISTANCIA SEGURIDAD,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,MOTO,HONDA,FLORIDA,PARTICULAR,NO APLICA,0
398,HERIDOS,2022-02-27,2022,11:00,MAÑANA,DOMINGO,FRAY LUIS AMIGO,CALLE 42 CARRERA 47,URBANA,TECNICO,3.53837,-76.31842,ADELANTAR EN CURVA,NO APLICA,CHOQUE,FEMENINA,NO APLICA,NO APLICA,CAMIONETA,HONDA,CALI,PARTICULAR,NO APLICA,0
